Folder,Subfolders,Files,Size (Bytes)
/srv/wordpress,2,1,611
/srv/wordpress/wp_data,3,19,199559
/srv/wordpress/wp_data/wp-admin,7,93,945386
/srv/wordpress/wp_data/wp-admin/maint,0,1,7628
/srv/wordpress/wp_data/wp-admin/network,0,30,127749
/srv/wordpress/wp_data/wp-admin/css,1,100,1994251
/srv/wordpress/wp_data/wp-admin/css/colors,8,3,26228
/srv/wordpress/wp_data/wp-admin/css/colors/ectoplasm,0,5,83904
/srv/wordpress/wp_data/wp-admin/css/colors/ocean,0,5,79479
/srv/wordpress/wp_data/wp-admin/css/colors/coffee,0,5,80373
/srv/wordpress/wp_data/wp-admin/css/colors/blue,0,5,82461
/srv/wordpress/wp_data/wp-admin/css/colors/modern,0,5,83532
/srv/wordpress/wp_data/wp-admin/css/colors/sunrise,0,5,86133
/srv/wordpress/wp_data/wp-admin/css/colors/midnight,0,5,84683
/srv/wordpress/wp_data/wp-admin/css/colors/light,0,5,83287
/srv/wordpress/wp_data/wp-admin/includes,0,106,3102732
/srv/wordpress/wp_data/wp-admin/images,0,79,428376
/srv/wordpress/wp_data/wp-admin/user,0,10,3758
/srv/wordpress/wp_data/wp-admin/js,1,97,1866834
/srv/wordpress/wp_data/wp-admin/js/widgets,0,14,139432
/srv/wordpress/wp_data/wp-includes,29,249,7729882
/srv/wordpress/wp_data/wp-includes/ID3,0,18,1165755
/srv/wordpress/wp_data/wp-includes/block-bindings,0,4,9582
/srv/wordpress/wp_data/wp-includes/Text,1,2,12199
/srv/wordpress/wp_data/wp-includes/Text/Diff,2,1,6806
/srv/wordpress/wp_data/wp-includes/Text/Diff/Renderer,0,1,5528
/srv/wordpress/wp_data/wp-includes/Text/Diff/Engine,0,4,31802
/srv/wordpress/wp_data/wp-includes/rest-api,3,3,91927
/srv/wordpress/wp_data/wp-includes/rest-api/endpoints,0,44,907136
/srv/wordpress/wp_data/wp-includes/rest-api/fields,0,5,22750
/srv/wordpress/wp_data/wp-includes/rest-api/search,0,4,16917
/srv/wordpress/wp_data/wp-includes/PHPMailer,0,7,269336
/srv/wordpress/wp_data/wp-includes/css,1,42,644443
/srv/wordpress/wp_data/wp-includes/css/dist,19,0,0
/srv/wordpress/wp_data/wp-includes/css/dist/preferences,0,4,4356
/srv/wordpress/wp_data/wp-includes/css/dist/edit-site,0,8,783976
/srv/wordpress/wp_data/wp-includes/css/dist/reusable-blocks,0,4,2444
/srv/wordpress/wp_data/wp-includes/css/dist/commands,0,4,29246
/srv/wordpress/wp_data/wp-includes/css/dist/editor,0,4,250472
/srv/wordpress/wp_data/wp-includes/css/dist/admin-ui,0,4,5114
/srv/wordpress/wp_data/wp-includes/css/dist/edit-post,0,8,66228
/srv/wordpress/wp_data/wp-includes/css/dist/base-styles,0,4,15340
/srv/wordpress/wp_data/wp-includes/css/dist/edit-widgets,0,4,98410
/srv/wordpress/wp_data/wp-includes/css/dist/list-reusable-blocks,0,4,17728
/srv/wordpress/wp_data/wp-includes/css/dist/patterns,0,4,7596
/srv/wordpress/wp_data/wp-includes/css/dist/block-directory,0,4,15808
/srv/wordpress/wp_data/wp-includes/css/dist/customize-widgets,0,4,25450
/srv/wordpress/wp_data/wp-includes/css/dist/block-editor,0,12,622813
/srv/wordpress/wp_data/wp-includes/css/dist/format-library,0,4,3214
/srv/wordpress/wp_data/wp-includes/css/dist/nux,0,4,9830
/srv/wordpress/wp_data/wp-includes/css/dist/components,0,4,418369
/srv/wordpress/wp_data/wp-includes/css/dist/block-library,0,32,821782
/srv/wordpress/wp_data/wp-includes/css/dist/widgets,0,4,23894
/srv/wordpress/wp_data/wp-includes/SimplePie,2,1,2053
/srv/wordpress/wp_data/wp-includes/SimplePie/src,6,22,557427
/srv/wordpress/wp_data/wp-includes/SimplePie/src/Net,0,1,7380
/srv/wordpress/wp_data/wp-includes/SimplePie/src/HTTP,0,8,34052
/srv/wordpress/wp_data/wp-includes/SimplePie/src/XML,1,0,0
/srv/wordpress/wp_data/wp-includes/SimplePie/src/XML/Declaration,0,1,7744
/srv/wordpress/wp_data/wp-includes/SimplePie/src/Content,1,0,0
/srv/wordpress/wp_data/wp-includes/SimplePie/src/Content/Type,0,1,7646
/srv/wordpress/wp_data/wp-includes/SimplePie/src/Cache,0,12,46444
/srv/wordpress/wp_data/wp-includes/SimplePie/src/Parse,0,1,25734
/srv/wordpress/wp_data/wp-includes/SimplePie/library,1,1,15353
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie,7,21,11297
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/Net,0,1,553
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/HTTP,0,1,664
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/Decode,1,0,0
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/Decode/HTML,0,1,22661
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/XML,1,0,0
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/XML/Declaration,0,1,639
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/Content,1,0,0
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/Content/Type,0,1,628
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/Cache,0,7,4035
/srv/wordpress/wp_data/wp-includes/SimplePie/library/SimplePie/Parse,0,1,565
/srv/wordpress/wp_data/wp-includes/assets,0,8,29678
/srv/wordpress/wp_data/wp-includes/images,3,25,71292
/srv/wordpress/wp_data/wp-includes/images/smilies,0,26,10082
/srv/wordpress/wp_data/wp-includes/images/crystal,0,10,15541
/srv/wordpress/wp_data/wp-includes/images/media,0,18,5263
/srv/wordpress/wp_data/wp-includes/block-patterns,0,7,8951
/srv/wordpress/wp_data/wp-includes/block-supports,0,19,134988
/srv/wordpress/wp_data/wp-includes/pomo,0,6,57146
/srv/wordpress/wp_data/wp-includes/interactivity-api,0,3,62890
/srv/wordpress/wp_data/wp-includes/certificates,0,1,234150
/srv/wordpress/wp_data/wp-includes/blocks,106,82,656244
